Dam Name,NID ID,Owner Names,Primary Owner Type,Primary Purpose,Purposes,Latitude,Longitude,State,County,City,River or Stream Name,Congressional District,Federal Agency Owners,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Primary Dam Type,NID Height (Ft),Dam Length (Ft),Year Completed,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Drainage Area (Sq Miles),Number of Locks,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Data Last Updated,Website URL
Exxonmobil Coal Usa/Mine 2/Refuse Disposal Area 1,IL50505,EXXONMOBIL ENVIRONMENTAL SERVICES COMPAN,Private,Tailings,Tailings,38.53441,-89.58751,Illinois,Clinton,Albers,Grassy Branch Creek,"Illinois, Congressional District 12",,,,,Other,47,10900,,7850,7850,0.26,0,07/25/2025,1,High,Not Available,,Yes,12/01/2016,01/20/2026,https://damsafety.org/illinois
Rlf/Pawnee Mine/Slurry Impoundment 2 Dam,IL50006,"RLF PAWNEE PROPERTIES, LLC",Private,Other,Other,39.57607,-89.51917,Illinois,Christian,Pawnee,Trib Sangchris Lake,"Illinois, Congressional District 15",,,,,Earth,37,9200,1985,3700,3700,,0,04/28/2025,1,High,Not Available,,Yes,05/01/2019,01/13/2026,https://damsafety.org/illinois
Exxonmobil Coal Usa/Mine 2/Refuse Disposal Area 2,IL50191,EXXONMOBIL ENVIRONMENTAL SERVICES COMPAN,Private,Other,Other,38.53941,-89.58751,Illinois,Clinton,Albers,Grassy Branch Creek,"Illinois, Congressional District 12",,,,,Earth,56,9010,1990,1536,1536,0.44,0,07/25/2025,1,High,Not Available,,Yes,12/01/2016,01/13/2026,https://damsafety.org/illinois
Milwaukee County Grounds,WI01242,Milwaukee Metropolitan Sewerage District,Local Government,,,0,0,Wisconsin,,,Underwood Creek,,,,,,Earth,32,,,970,970,,,09/28/2021,2,High,Fair,07/15/2022,Yes,01/01/2011,09/16/2022,https://damsafety.org/wisconsin
Thomson Spillway Section 4,MN00604,"Allete, Inc.",Private,Hydroelectric,Hydroelectric;Recreation,,,Minnesota,,,St Louis River                ,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,42,300,1907,4352,4352,,,09/21/2021,1,High,Satisfactory,04/11/2023,Yes,,04/12/2023,https://www.ferc.gov/dam-safety-and-inspections
36601 Jim Owings Dam,MO20813,,Private,,,39.02472,-94.15388,Missouri,Jackson,Oak Grove,,"Missouri, Congressional District 04",,,,,,26,200,,34,34,12,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Khani Dam,MO32062,,Private,,,38.79077486,-90.95061865,Missouri,St. Charles,,,"Missouri, Congressional District 02",,,,,Earth,57,980,2001,527,527,0.62,,07/22/2021,,High,Unsatisfactory,12/21/2007,Yes,04/05/2011,05/03/2023,https://damsafety.org/missouri
Zoellner Dam,MO40177,,Private,Recreation,Recreation,37.65494,-90.03913,Missouri,Perry,,,"Missouri, Congressional District 08",,,,,Earth,62,0,,800,800,0.33,,06/28/2022,2,High,Satisfactory,09/12/2012,Yes,08/29/2013,05/03/2023,https://damsafety.org/missouri
Elko/Bidwell Farm,MO41027,ELKO Farms LLC,Private,,,40.40550759,-92.82436297,Missouri,Putnam,,,"Missouri, Congressional District 06",,,,,,45,850,,0,,,,,3,High,,,No,,05/03/2023,https://damsafety.org/missouri
Dudenhoeffer Dam,MO32065,DR. MICHAEL DUDENHOEFFER,Private,,,38.27386657,-91.89054304,Missouri,Maries,Freeburg,,"Missouri, Congressional District 03",,,,,Earth,55,720,2001,853,853,0.59,,11/03/2020,,High,Satisfactory,12/21/2007,Yes,12/26/2012,05/03/2023,https://damsafety.org/missouri
Bridgewater Lake Dam,MO32091,,Private,,,38.45863,-90.88989,Missouri,Franklin,Villa Ridge,,"Missouri, Congressional District 02",,,,,,32,400,1995,235,235,575,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Tullos Lake Dam,MS07317,RODNEY TULLoS,Private,,,34.19194444,-89.93388889,Mississippi,Panola,,,"Mississippi, Congressional District 02",,,,,,17,391,2018,23.4,23.4,0.01,,12/22/2021,5,High,Satisfactory,12/22/2021,No,,05/31/2023,https://damsafety.org/mississippi
Meadow Lake Estates Dam,MO12416,,Private,,,39.27942,-94.33572,Missouri,Clay,,,"Missouri, Congressional District 06",,,,,Earth,47,745,2000,400,400,0.28,,03/30/2022,3,High,Satisfactory,12/19/2007,Yes,01/31/2011,05/03/2023,https://damsafety.org/missouri
Dead Horse Slough,WI12880,Wisconsin Department of Transportation,State,,,46.1551387,-90.8577021,Wisconsin,Ashland,,,"Wisconsin, Congressional District 07",,,,,,19,360,,900,900,5.9,,07/02/2019,2,High,Fair,09/24/2020,Yes,,09/16/2022,https://damsafety.org/wisconsin
City of Fenton Dam #1,MO40138,,Local Government,,,38.52530746,-90.4516991,Missouri,St. Louis,Fenton,,"Missouri, Congressional District 02",,,,,,35,,,42,42,,0,05/10/2005,2,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lemons Dam,TN14305,"Lemons, Mike",Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",35.696944,-84.817778,Tennessee,Rhea,,,"Tennessee, Congressional District 04",,,,,Earth,20,,,85,85,,,10/25/2023,5,High,,,Not Required,,10/24/2024,https://damsafety.org/tennessee
Smith Dam,TN09708,"Mccoy, Alice",Private,,,35.798611,-89.525556,Tennessee,Lauderdale,Ripley,Cane Creek,"Tennessee, Congressional District 08",,,,,Earth,22,220,1965,69,69,0.12,,01/26/2022,5,High,,,Yes,,10/24/2024,https://damsafety.org/tennessee
Ms06929 Lake Dam,MS06929,,Private,Recreation,Recreation,33.31808806,-89.74228154,Mississippi,Carroll,,,"Mississippi, Congressional District 02",,,,,Earth,26,,,119,119,0.14,,12/18/2019,,High,Not Rated,12/18/2019,No,,05/31/2023,https://damsafety.org/mississippi
Thunder Lake Dam,MS07333,JIM & EVE WEBB,Private,,,31.75694444,-89.14361111,Mississippi,Jones,,,"Mississippi, Congressional District 03",,,,,,18,,2000,31,31,0.05,,03/07/2023,5,High,Fair,03/16/2022,No,,05/31/2023,https://damsafety.org/mississippi
